Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,North Eastern,Mandera,Ashabito,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,350,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Beans,Retail,15-12-23,Monthly,170,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Beans,Retail,15-03-24,Monthly,168,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Beans,Retail,15-06-24,Monthly,170,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Beans,Retail,15-09-24,Monthly,156,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Beans,Retail,15-03-25,Monthly,147,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Kale,Retail,15-12-23,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Kale,Retail,15-03-25,Monthly,60,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Maize (white, dry)",Retail,15-06-24,Monthly,70,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Maize (white, dry)",Retail,15-03-25,Monthly,64,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-12-23,Monthly,81,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-03-24,Monthly,90,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-06-24,Monthly,78,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-09-24,Monthly,75,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-12-24,Monthly,73,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,Maize flour (white),Retail,15-03-25,Monthly,91,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-12-23,Monthly,295,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,308,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-06-24,Monthly,300,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-09-24,Monthly,305,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-12-24,Monthly,317,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Tana River,Bangale,"Oil (vegetable, fortified)",Retail,15-03-25,Monthly,311,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-01-21,Weekly,80,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-03-21,Weekly,100,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-04-21,Weekly,106.363638,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-08-21,Weekly,111.333333,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-09-21,Weekly,106,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-10-21,Weekly,120,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15-11-21,Weekly,109.3333,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Kale,Retail,15-01-21,Weekly,10,Bunch,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15-04-21,Weekly,45,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15-08-21,Weekly,51.666666,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15-09-21,Weekly,50,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15-10-21,Weekly,55,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15-11-21,Weekly,52.5,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-01-21,Weekly,56.6666,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-03-21,Weekly,51.16662,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-04-21,Weekly,51.767627,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-08-21,Weekly,51.388866,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-09-21,Weekly,54.1666,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-10-21,Weekly,50,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize flour,Retail,15-11-21,Weekly,50,KG,KES,WFP,,,,Aggregated,,,
