admin_1,admin_2,market_name,commodity,price_type,price_date,price,unit,year_month
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-09-15,220.0,L,2021-09
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-10-15,220.0,L,2021-10
Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,2021-11-15,246.6666,L,2021-11
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-01-15,80.0,KG,2021-01
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-03-15,83.833309,KG,2021-03
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-04-15,93.27273,KG,2021-04
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-08-15,105.555533,KG,2021-08
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-09-15,95.0,KG,2021-09
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-10-15,97.5,KG,2021-10
Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,2021-11-15,100.0,KG,2021-11
North Eastern,Mandera,Banissa,Beans,Retail,2024-03-15,227.0,KG,2024-03
North Eastern,Mandera,Banissa,Beans,Retail,2025-03-15,187.0,KG,2025-03
North Eastern,Mandera,Banissa,Beans,Retail,2025-06-15,190.0,KG,2025-06
North Eastern,Mandera,Banissa,Kale,Retail,2024-03-15,90.0,KG,2024-03
North Eastern,Mandera,Banissa,Kale,Retail,2025-06-15,100.0,KG,2025-06
North Eastern,Mandera,Banissa,"Maize (white, dry)",Retail,2025-03-15,150.0,KG,2025-03
North Eastern,Mandera,Banissa,"Maize (white, dry)",Retail,2025-06-15,100.0,KG,2025-06
North Eastern,Mandera,Banissa,Maize flour (white),Retail,2024-03-15,105.0,KG,2024-03
North Eastern,Mandera,Banissa,Maize flour (white),Retail,2025-03-15,135.0,KG,2025-03
North Eastern,Mandera,Banissa,Maize flour (white),Retail,2025-06-15,108.0,KG,2025-06
North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,2024-03-15,250.0,L,2024-03
North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,2025-03-15,200.0,L,2025-03
North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,2025-06-15,317.0,L,2025-06
Rift Valley,Samburu,Baragoi,Beans,Retail,2023-12-15,140.0,KG,2023-12
Rift Valley,Samburu,Baragoi,Beans,Retail,2024-03-15,100.0,KG,2024-03
Rift Valley,Samburu,Baragoi,Beans,Retail,2024-06-15,112.0,KG,2024-06
Rift Valley,Samburu,Baragoi,Beans,Retail,2024-09-15,91.0,KG,2024-09
Rift Valley,Samburu,Baragoi,Kale,Retail,2024-06-15,64.0,KG,2024-06
Rift Valley,Samburu,Baragoi,Kale,Retail,2024-09-15,50.0,KG,2024-09
Rift Valley,Samburu,Baragoi,Kale,Retail,2024-12-15,48.0,KG,2024-12
Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,2023-12-15,73.0,KG,2023-12
Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,2024-03-15,50.0,KG,2024-03
Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,2024-06-15,69.0,KG,2024-06
Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,2024-09-15,45.0,KG,2024-09
Rift Valley,Samburu,Baragoi,Maize flour (white),Retail,2023-12-15,83.0,KG,2023-12
Rift Valley,Samburu,Baragoi,Maize flour (white),Retail,2024-03-15,83.0,KG,2024-03
Rift Valley,Samburu,Baragoi,Maize flour (white),Retail,2024-06-15,57.0,KG,2024-06
Rift Valley,Samburu,Baragoi,Maize flour (white),Retail,2024-09-15,46.0,KG,2024-09
Rift Valley,Samburu,Baragoi,Maize flour (white),Retail,2024-12-15,59.5,KG,2024-12
Rift Valley,Samburu,Baragoi,"Oil (vegetable, fortified)",Retail,2023-12-15,360.0,L,2023-12
Rift Valley,Samburu,Baragoi,"Oil (vegetable, fortified)",Retail,2024-03-15,300.0,L,2024-03
Rift Valley,Samburu,Baragoi,"Oil (vegetable, fortified)",Retail,2024-06-15,305.0,L,2024-06
Rift Valley,Samburu,Baragoi,"Oil (vegetable, fortified)",Retail,2024-09-15,288.0,L,2024-09
Rift Valley,Samburu,Baragoi,"Oil (vegetable, fortified)",Retail,2024-12-15,329.0,L,2024-12
North Eastern,Garissa,Baraki,Beans,Retail,2024-03-15,180.0,KG,2024-03
North Eastern,Garissa,Baraki,Beans,Retail,2024-06-15,165.0,KG,2024-06
North Eastern,Garissa,Baraki,Beans,Retail,2024-09-15,168.0,KG,2024-09
North Eastern,Garissa,Baraki,"Maize (white, dry)",Retail,2024-03-15,100.0,KG,2024-03
North Eastern,Garissa,Baraki,"Maize (white, dry)",Retail,2024-06-15,70.0,KG,2024-06
North Eastern,Garissa,Baraki,Maize flour (white),Retail,2024-03-15,120.0,KG,2024-03
North Eastern,Garissa,Baraki,Maize flour (white),Retail,2024-06-15,120.0,KG,2024-06
North Eastern,Garissa,Baraki,Maize flour (white),Retail,2024-09-15,100.0,KG,2024-09
North Eastern,Garissa,Baraki,"Oil (vegetable, fortified)",Retail,2024-03-15,350.0,L,2024-03
North Eastern,Garissa,Baraki,"Oil (vegetable, fortified)",Retail,2024-06-15,310.0,L,2024-06
North Eastern,Garissa,Baraki,"Oil (vegetable, fortified)",Retail,2024-09-15,295.0,L,2024-09
Eastern,Isiolo,Benane,Beans,Retail,2023-12-15,200.0,KG,2023-12
Eastern,Isiolo,Benane,Beans,Retail,2024-03-15,160.0,KG,2024-03
Eastern,Isiolo,Benane,Beans,Retail,2024-06-15,127.0,KG,2024-06
Eastern,Isiolo,Benane,Beans,Retail,2024-09-15,177.0,KG,2024-09
Eastern,Isiolo,Benane,Kale,Retail,2023-12-15,100.0,KG,2023-12
Eastern,Isiolo,Benane,Kale,Retail,2024-03-15,95.0,KG,2024-03
Eastern,Isiolo,Benane,Kale,Retail,2024-06-15,100.0,KG,2024-06
Eastern,Isiolo,Benane,Kale,Retail,2024-09-15,97.0,KG,2024-09
Eastern,Isiolo,Benane,"Maize (white, dry)",Retail,2023-12-15,100.0,KG,2023-12
Eastern,Isiolo,Benane,"Maize (white, dry)",Retail,2024-03-15,100.0,KG,2024-03
Eastern,Isiolo,Benane,"Maize (white, dry)",Retail,2024-06-15,97.0,KG,2024-06
